종목코드,종목명,시작일 기준가,종료일 종가,대비,등락률,거래량,거래대금
"347770","핌스","14500","18210","3710","25.59","3047914","54457750970"
"163730","핑거","10560","10340","-220","-2.08","779959","7861575730"
"417180","핑거스토리","4320","4020","-300","-6.94","3531488","15330193555"
"446750","하나26호스팩","2135","2110","-25","-1.17","411893","878854980"
"448370","하나27호스팩","2150","2150","0","0.00","0","0"
"454640","하나29호스팩","2140","2100","-40","-1.87","594424","1266093170"
"400560","하나금융20호스팩","3015","2770","-245","-8.13","2967348","8625081170"
"406760","하나금융21호스팩","2250","2135","-115","-5.11","324882","708448770"
"418170","하나금융22호스팩","2120","2150","30","1.42","765399","1618306900"
"427950","하나금융23호스팩","2360","2360","0","0.00","0","0"
"430230","하나금융24호스팩","2205","2135","-70","-3.17","408018","883867995"
"435620","하나금융25호스팩","9760","9760","0","0.00","0","0"
"086790","하나금융지주","38000","37900","-100","-0.26","26674247","1039653060725"
"299030","하나기술","98600","111000","12400","12.58","13130843","1578950908600"
"067310","하나마이크론","20500","19000","-1500","-7.32","54204194","1140941605220"
"372290","하나머스트7호스팩","2405","2405","0","0.00","0","0"
"166090","하나머티리얼즈","49000","45100","-3900","-7.96","4232283","201606386100"
"293480","하나제약","13680","14400","720","5.26","680242","9440321790"
"039130","하나투어","50400","48000","-2400","-4.76","1856760","90550374150"
"136480","하림","3040","2885","-155","-5.10","14841658","42624515520"
"003380","하림지주","7480","7410","-70","-0.94","12578144","92150534790"
"101670","하이드로리튬","31400","25800","-5600","-17.83","24633090","713225098900"
"365590","하이딥","1960","1587","-373","-19.03","33797087","61886886695"
"149980","하이로닉","8680","10310","1630","18.78","16695668","156244720810"
"013030","하이록코리아","28150","29500","1350","4.80","3698658","105335071400"
"352820","하이브","279500","259500","-20000","-7.16","9251455","2446285174330"
"126700","하이비젼시스템","19670","20550","880","4.47","6498778","134053693760"
"106080","하이소닉","9450","8390","-1060","-11.22","2121089","20541201620"
"071090","하이스틸","4200","3685","-515","-12.26","4716574","18793661410"
"377400","하이제6호스팩","2270","2270","0","0.00","0","0"
"400840","하이제7호스팩","2200","2090","-110","-5.00","380817","806762585"
"450050","하이제8호스팩","2115","2105","-10","-0.47","475417","1005474210"
"221840","하이즈항공","3175","2990","-185","-5.83","918350","2669295845"
"106190","하이텍팜","13450","12970","-480","-3.57","189106","2414709020"
"019490","하이트론","2470","2470","0","0.00","0","0"
"000080","하이트진로","20800","20300","-500","-2.40","5521131","112335342380"
"000087","하이트진로2우B","16240","15630","-610","-3.76","64137","1009027380"
"000140","하이트진로홀딩스","9170","9030","-140","-1.53","228443","2060824920"
"000145","하이트진로홀딩스우","12370","11780","-590","-4.77","7688","90980970"
"373200","하인크코리아","5520","4695","-825","-14.95","5195410","26145329855"
"066130","하츠","5440","5020","-420","-7.72","538781","2733834880"
"152550","한국ANKOR유전","655","532","-123","-18.78","237106336","145868150206"
"004590","한국가구","4590","4230","-360","-7.84","1317655","5807996125"
"036460","한국가스공사","24450","25800","1350","5.52","5522246","138146719500"
"039340","한국경제TV","6000","5970","-30","-0.50","761402","4536019010"
"005430","한국공항","38600","36200","-2400","-6.22","106069","3940832200"
"071050","한국금융지주","48950","52000","3050","6.23","3700895","184958097150"
